product name,product category,product price,product link,product image
Dahua DHI-LM22-B201SW 21.45 inch 100Hz FHD IPS Monitor,Monitors,9800,https://www.startech.com.bd/dahua-dhi-lm22-b201sw-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm22-b201sw/dhi-lm22-b201sw-03-228x228.webp
"Dahua DHI-LM22-C201P Black 21.5"" FHD IPS 100Hz Monitor ",Monitors,9900,https://www.startech.com.bd/dahua-dhi-lm22-c201p-black-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm22-c201p-black/dhi-lm22-c201p-01-228x228.webp
Dahua LM22-B201S 21.45'' IPS 100Hz FHD Monitor,Monitors,9900,https://www.startech.com.bd/dahua-lm22-b201s-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/lm22-b201s/lm22-b201s-01-228x228.webp
LG 22MP400-B 22-inch Full HD Monitor,Monitors,9800,https://www.startech.com.bd/lg-22mp400-b-22-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/22mp400-b/lg-22mp400-b-01-228x228.jpg
"Philips 221V8LB 21.5"" 100Hz FHD LED Monitor",Monitors,9900,https://www.startech.com.bd/philips-221v8lb-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/philips/221v8lb/221v8lb-01-228x228.webp
"Dahua DHI-LM22-C201PL SIlver 21.5"" FHD IPS 100Hz Monitor",Monitors,9900,https://www.startech.com.bd/dahua-dhi-lm22-c201pl-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm22-c201pl/dhi-lm22-c201pl-01-228x228.webp
"HP P204v 19.5 Inch HD LED Monitor (HDMI, VGA)",Monitors,9700,https://www.startech.com.bd/hp-p204v-19-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/P204v/P204v-228x228.jpg
"Realview RV215GW 21.45"" 100Hz FHD IPS Monitor",Monitors,10500,https://www.startech.com.bd/realview-rv215gw-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/realview/rv215gw/rv215gw-01-228x228.webp
"MSI PRO MP225 21.5"" 100Hz IPS FHD Monitor",Monitors,10700,https://www.startech.com.bd/msi-pro-mp225-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/msi/pro-mp225/pro-mp225-04-228x228.webp
"ViewSonic VA2209-H-2 22"" 100HZ 1ms FHD IPS Monitor",Monitors,10200,https://www.startech.com.bd/viewsonic-va2209-h-2-100hz-fhd-ips-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2209-h-2/va2209-h-2-01-228x228.webp
